Ref,Val,Package,PosX,PosY,Rot,Side
"C157","1pF","C_0201_0603Metric",99.824999,142.045000,180.000000,bottom
"C157","1pF","C_0201_0603Metric",30.744999,58.045000,180.000000,bottom
"C157","1pF","C_0201_0603Metric",30.744999,16.045000,180.000000,bottom
"C157","1pF","C_0201_0603Metric",65.284999,58.045000,180.000000,bottom
"C157","1pF","C_0201_0603Metric",65.284999,142.045000,180.000000,bottom
"C157","1pF","C_0201_0603Metric",30.744999,100.045000,180.000000,bottom
"C157","1pF","C_0201_0603Metric",134.364999,142.045000,180.000000,bottom
"C157","1pF","C_0201_0603Metric",99.824999,58.045000,180.000000,bottom
"C158","1nF","C_0201_0603Metric",135.814999,73.735000,0.000000,bottom
"C158","1nF","C_0201_0603Metric",101.274999,31.735000,0.000000,bottom
"C158","1nF","C_0201_0603Metric",101.274999,73.735000,0.000000,bottom
"C158","1nF","C_0201_0603Metric",135.814999,31.735000,0.000000,bottom
"C158","1nF","C_0201_0603Metric",32.194999,31.735000,0.000000,bottom
"C158","1nF","C_0201_0603Metric",101.274999,115.735000,0.000000,bottom
"C158","1nF","C_0201_0603Metric",32.194999,73.735000,0.000000,bottom
"C158","1nF","C_0201_0603Metric",66.734999,73.735000,0.000000,bottom
"C158","1nF","C_0201_0603Metric",135.814999,115.735000,0.000000,bottom
"C158","1nF","C_0201_0603Metric",32.194999,157.735000,0.000000,bottom
"C158","1nF","C_0201_0603Metric",101.274999,157.735000,0.000000,bottom
"C158","1nF","C_0201_0603Metric",66.734999,157.735000,0.000000,bottom
"C158","1nF","C_0201_0603Metric",66.734999,115.735000,0.000000,bottom
"C158","1nF","C_0201_0603Metric",32.194999,115.735000,0.000000,bottom
"C158","1nF","C_0201_0603Metric",66.734999,31.735000,0.000000,bottom
"C158","1nF","C_0201_0603Metric",135.814999,157.735000,0.000000,bottom
"C159","100nF","C_0201_0603Metric",99.824999,74.275000,0.000000,bottom
"C159","100nF","C_0201_0603Metric",134.364999,158.275000,0.000000,bottom
"C159","100nF","C_0201_0603Metric",65.284999,32.275000,0.000000,bottom
"C159","100nF","C_0201_0603Metric",99.824999,116.275000,0.000000,bottom
"C159","100nF","C_0201_0603Metric",65.284999,74.275000,0.000000,bottom
"C159","100nF","C_0201_0603Metric",30.744999,74.275000,0.000000,bottom
"C159","100nF","C_0201_0603Metric",134.364999,32.275000,0.000000,bottom
"C159","100nF","C_0201_0603Metric",30.744999,158.275000,0.000000,bottom
"C159","100nF","C_0201_0603Metric",99.824999,32.275000,0.000000,bottom
"C159","100nF","C_0201_0603Metric",30.744999,116.275000,0.000000,bottom
"C159","100nF","C_0201_0603Metric",134.364999,74.275000,0.000000,bottom
"C159","100nF","C_0201_0603Metric",30.744999,32.275000,0.000000,bottom
"C159","100nF","C_0201_0603Metric",65.284999,116.275000,0.000000,bottom
"C159","100nF","C_0201_0603Metric",65.284999,158.275000,0.000000,bottom
"C159","100nF","C_0201_0603Metric",99.824999,158.275000,0.000000,bottom
"C159","100nF","C_0201_0603Metric",134.364999,116.275000,0.000000,bottom
"C160","1pF","C_0201_0603Metric",32.194999,158.275000,0.000000,bottom
"C160","1pF","C_0201_0603Metric",135.814999,158.275000,0.000000,bottom
"C160","1pF","C_0201_0603Metric",101.274999,74.275000,0.000000,bottom
"C160","1pF","C_0201_0603Metric",135.814999,116.275000,0.000000,bottom
"C160","1pF","C_0201_0603Metric",66.734999,74.275000,0.000000,bottom
"C160","1pF","C_0201_0603Metric",32.194999,32.275000,0.000000,bottom
"C160","1pF","C_0201_0603Metric",66.734999,116.275000,0.000000,bottom
"C160","1pF","C_0201_0603Metric",101.274999,32.275000,0.000000,bottom
"C160","1pF","C_0201_0603Metric",135.814999,32.275000,0.000000,bottom
"C160","1pF","C_0201_0603Metric",32.194999,116.275000,0.000000,bottom
"C160","1pF","C_0201_0603Metric",101.274999,116.275000,0.000000,bottom
"C160","1pF","C_0201_0603Metric",66.734999,32.275000,0.000000,bottom
"C160","1pF","C_0201_0603Metric",101.274999,158.275000,0.000000,bottom
"C160","1pF","C_0201_0603Metric",66.734999,158.275000,0.000000,bottom
"C160","1pF","C_0201_0603Metric",135.814999,74.275000,0.000000,bottom
"C160","1pF","C_0201_0603Metric",32.194999,74.275000,0.000000,bottom
"C161","1nF","C_0201_0603Metric",134.364999,76.725000,0.000000,bottom
"C161","1nF","C_0201_0603Metric",134.364999,34.725000,0.000000,bottom
"C161","1nF","C_0201_0603Metric",99.824999,76.725000,0.000000,bottom
"C161","1nF","C_0201_0603Metric",30.744999,160.725000,0.000000,bottom
"C161","1nF","C_0201_0603Metric",134.364999,118.725000,0.000000,bottom
"C161","1nF","C_0201_0603Metric",99.824999,160.725000,0.000000,bottom
"C161","1nF","C_0201_0603Metric",65.284999,160.725000,0.000000,bottom
"C161","1nF","C_0201_0603Metric",99.824999,118.725000,0.000000,bottom
"C161","1nF","C_0201_0603Metric",134.364999,160.725000,0.000000,bottom
"C161","1nF","C_0201_0603Metric",65.284999,76.725000,0.000000,bottom
"C161","1nF","C_0201_0603Metric",65.284999,34.725000,0.000000,bottom
"C161","1nF","C_0201_0603Metric",30.744999,76.725000,0.000000,bottom
"C161","1nF","C_0201_0603Metric",99.824999,34.725000,0.000000,bottom
"C161","1nF","C_0201_0603Metric",30.744999,118.725000,0.000000,bottom
"C161","1nF","C_0201_0603Metric",65.284999,118.725000,0.000000,bottom
"C161","1nF","C_0201_0603Metric",30.744999,34.725000,0.000000,bottom
"C162","1pF","C_0201_0603Metric",135.814999,118.725000,0.000000,bottom
"C162","1pF","C_0201_0603Metric",32.194999,160.725000,0.000000,bottom
"C162","1pF","C_0201_0603Metric",32.194999,118.725000,0.000000,bottom
"C162","1pF","C_0201_0603Metric",135.814999,160.725000,0.000000,bottom
"C162","1pF","C_0201_0603Metric",101.274999,76.725000,0.000000,bottom
"C162","1pF","C_0201_0603Metric",101.274999,118.725000,0.000000,bottom
"C162","1pF","C_0201_0603Metric",66.734999,118.725000,0.000000,bottom
"C162","1pF","C_0201_0603Metric",101.274999,34.725000,0.000000,bottom
"C162","1pF","C_0201_0603Metric",135.814999,76.725000,0.000000,bottom
"C162","1pF","C_0201_0603Metric",101.274999,160.725000,0.000000,bottom
"C162","1pF","C_0201_0603Metric",32.194999,34.725000,0.000000,bottom
"C162","1pF","C_0201_0603Metric",66.734999,34.725000,0.000000,bottom
