Step,ToT (s)
689,2.87051e-09
690,2.8709e-09
691,2.87128e-09
692,2.87166e-09
693,2.87204e-09
694,2.87242e-09
695,2.8728e-09
696,2.87318e-09
697,2.87355e-09
698,2.87392e-09
699,2.87429e-09
700,2.87466e-09
701,2.87503e-09
702,2.87539e-09
703,2.87576e-09
704,2.87612e-09
705,2.87648e-09
706,2.87684e-09
707,2.8772e-09
708,2.87755e-09
709,2.87791e-09
710,2.87826e-09
711,2.87862e-09
712,2.87897e-09
713,2.87932e-09
714,2.87967e-09
715,2.88001e-09
716,2.88036e-09
717,2.8807e-09
718,2.88104e-09
719,2.88138e-09
720,2.88172e-09
721,2.88206e-09
722,2.88239e-09
723,2.88273e-09
724,2.88306e-09
725,2.88339e-09
726,2.88372e-09
727,2.88405e-09
728,2.88438e-09
729,2.8847e-09
730,2.88503e-09
731,2.88535e-09
732,2.88567e-09
733,2.88599e-09
734,2.88631e-09
735,2.88662e-09
736,2.88694e-09
737,2.88725e-09
738,2.88756e-09
739,2.88787e-09
740,2.88818e-09
741,2.88849e-09
742,2.88879e-09
743,2.8891e-09
744,2.8894e-09
745,2.8897e-09
746,2.89e-09
747,2.8903e-09
748,2.8906e-09
749,2.89089e-09
750,2.89119e-09
751,2.89148e-09
752,2.89177e-09
753,2.89206e-09
754,2.89235e-09
755,2.89264e-09
756,2.89293e-09
757,2.89321e-09
758,2.89349e-09
759,2.89378e-09
760,2.89406e-09
761,2.89435e-09
762,2.89463e-09
763,2.89491e-09
764,2.89519e-09
765,2.89547e-09
766,2.89574e-09
767,2.89602e-09
768,2.89629e-09
769,2.89656e-09
770,2.89683e-09
771,2.8971e-09
772,2.89737e-09
773,2.89764e-09
774,2.8979e-09
775,2.89817e-09
776,2.89843e-09
777,2.89869e-09
778,2.89895e-09
779,2.89921e-09
780,2.89947e-09
781,2.89973e-09
782,2.89998e-09
783,2.90023e-09
784,2.90049e-09
785,2.90074e-09
786,2.90099e-09
787,2.90124e-09
788,2.90149e-09
789,2.90173e-09
790,2.90198e-09
791,2.90222e-09
792,2.90247e-09
793,2.90271e-09
794,2.90295e-09
795,2.90319e-09
796,2.90343e-09
797,2.90367e-09
798,2.9039e-09
799,2.90414e-09
800,2.90437e-09
801,2.9046e-09
802,2.90483e-09
803,2.90506e-09
804,2.90529e-09
805,2.90552e-09
806,2.90575e-09
807,2.90597e-09
808,2.9062e-09
809,2.90642e-09
810,2.90664e-09
811,2.90686e-09
812,2.90708e-09
813,2.9073e-09
814,2.90752e-09
815,2.90773e-09
816,2.90795e-09
817,2.90817e-09
818,2.90838e-09
819,2.9086e-09
820,2.90882e-09
821,2.90903e-09
822,2.90924e-09
823,2.90945e-09
824,2.90966e-09
825,2.90987e-09
826,2.91008e-09
827,2.91029e-09
828,2.91049e-09
829,2.9107e-09
830,2.9109e-09
831,2.91111e-09
832,2.91131e-09
833,2.91151e-09
834,2.91171e-09
835,2.91191e-09
836,2.91211e-09
837,2.9123e-09
838,2.9125e-09
839,2.91269e-09
840,2.91289e-09
841,2.91308e-09
842,2.91327e-09
843,2.91346e-09
844,2.91365e-09
845,2.91384e-09
846,2.91403e-09
847,2.91421e-09
848,2.9144e-09
849,2.91458e-09
850,2.91477e-09
851,2.91495e-09
852,2.91513e-09
853,2.91531e-09
854,2.91549e-09
855,2.91567e-09
856,2.91584e-09
857,2.91602e-09
858,2.9162e-09
859,2.91637e-09
860,2.91654e-09
861,2.91672e-09
862,2.91689e-09
863,2.91706e-09
864,2.91723e-09
865,2.9174e-09
866,2.91756e-09
867,2.91773e-09
868,2.9179e-09
869,2.91806e-09
870,2.91822e-09
871,2.91839e-09
872,2.91855e-09
873,2.91871e-09
874,2.91887e-09
875,2.91903e-09
876,2.91919e-09
877,2.91935e-09
878,2.9195e-09
879,2.91966e-09
880,2.91981e-09
881,2.91997e-09
