Step,ToT (s)
422,2.35749e-09
423,2.35833e-09
424,2.35916e-09
425,2.35999e-09
426,2.36082e-09
427,2.36164e-09
428,2.36246e-09
429,2.36328e-09
430,2.36409e-09
431,2.3649e-09
432,2.3657e-09
433,2.3665e-09
434,2.3673e-09
435,2.36809e-09
436,2.36888e-09
437,2.36967e-09
438,2.37045e-09
439,2.37123e-09
440,2.372e-09
441,2.37278e-09
442,2.37354e-09
443,2.37431e-09
444,2.37507e-09
445,2.37582e-09
446,2.37658e-09
447,2.37732e-09
448,2.37807e-09
449,2.37881e-09
450,2.37955e-09
451,2.38029e-09
452,2.38102e-09
453,2.38175e-09
454,2.38248e-09
455,2.3832e-09
456,2.38392e-09
457,2.38463e-09
458,2.38535e-09
459,2.38605e-09
460,2.38676e-09
461,2.38746e-09
462,2.38816e-09
463,2.38886e-09
464,2.38956e-09
465,2.39024e-09
466,2.39093e-09
467,2.39161e-09
468,2.39229e-09
469,2.39297e-09
470,2.39364e-09
471,2.39432e-09
472,2.39498e-09
473,2.39565e-09
474,2.39631e-09
475,2.39697e-09
476,2.39763e-09
477,2.39828e-09
478,2.39894e-09
479,2.39958e-09
480,2.40023e-09
481,2.40087e-09
482,2.40151e-09
483,2.40214e-09
484,2.40278e-09
485,2.40341e-09
486,2.40403e-09
487,2.40466e-09
488,2.40528e-09
489,2.4059e-09
490,2.40651e-09
491,2.40712e-09
492,2.40773e-09
493,2.40833e-09
494,2.40894e-09
495,2.40954e-09
496,2.41013e-09
497,2.41073e-09
498,2.41132e-09
499,2.41191e-09
500,2.4125e-09
501,2.41308e-09
502,2.41366e-09
503,2.41424e-09
504,2.41481e-09
505,2.41538e-09
506,2.41595e-09
507,2.41652e-09
508,2.41708e-09
509,2.41764e-09
510,2.4182e-09
511,2.41876e-09
512,2.41932e-09
513,2.41987e-09
514,2.42042e-09
515,2.42097e-09
516,2.42152e-09
517,2.42206e-09
518,2.4226e-09
519,2.42314e-09
520,2.42367e-09
521,2.42421e-09
522,2.42474e-09
523,2.42526e-09
524,2.42579e-09
525,2.42631e-09
526,2.42683e-09
527,2.42735e-09
528,2.42787e-09
529,2.42838e-09
530,2.42889e-09
531,2.4294e-09
532,2.4299e-09
533,2.4304e-09
534,2.43091e-09
535,2.4314e-09
536,2.4319e-09
537,2.43239e-09
538,2.43288e-09
539,2.43337e-09
540,2.43385e-09
541,2.43434e-09
542,2.43482e-09
543,2.4353e-09
544,2.43578e-09
545,2.43625e-09
546,2.43672e-09
547,2.43719e-09
548,2.43766e-09
549,2.43812e-09
550,2.43859e-09
551,2.43905e-09
552,2.43951e-09
553,2.43997e-09
554,2.44043e-09
555,2.44088e-09
556,2.44134e-09
557,2.44179e-09
558,2.44224e-09
559,2.44269e-09
560,2.44313e-09
561,2.44357e-09
562,2.44402e-09
563,2.44445e-09
564,2.44489e-09
565,2.44532e-09
566,2.44576e-09
567,2.44619e-09
568,2.44661e-09
569,2.44704e-09
570,2.44746e-09
571,2.44788e-09
572,2.4483e-09
573,2.44872e-09
574,2.44913e-09
575,2.44955e-09
576,2.44996e-09
577,2.45037e-09
578,2.45077e-09
579,2.45118e-09
580,2.45158e-09
581,2.45198e-09
582,2.45238e-09
583,2.45278e-09
584,2.45318e-09
585,2.45357e-09
586,2.45396e-09
587,2.45435e-09
588,2.45474e-09
589,2.45512e-09
590,2.4555e-09
591,2.45589e-09
592,2.45626e-09
593,2.45664e-09
594,2.45702e-09
595,2.45739e-09
596,2.45776e-09
597,2.45813e-09
598,2.4585e-09
599,2.45887e-09
600,2.45924e-09
601,2.45961e-09
602,2.45998e-09
603,2.46034e-09
604,2.4607e-09
605,2.46106e-09
606,2.46142e-09
607,2.46178e-09
608,2.46213e-09
609,2.46249e-09
610,2.46284e-09
611,2.46319e-09
612,2.46353e-09
613,2.46388e-09
614,2.46422e-09
615,2.46456e-09
616,2.4649e-09
617,2.46524e-09
618,2.46558e-09
619,2.46591e-09
620,2.46625e-09
621,2.46658e-09
622,2.46691e-09
623,2.46724e-09
624,2.46756e-09
625,2.46789e-09
626,2.46821e-09
627,2.46853e-09
628,2.46885e-09
629,2.46917e-09
630,2.46949e-09
631,2.4698e-09
632,2.47012e-09
633,2.47043e-09
634,2.47074e-09
635,2.47105e-09
636,2.47135e-09
637,2.47166e-09
638,2.47196e-09
639,2.47227e-09
640,2.47257e-09
641,2.47286e-09
642,2.47316e-09
643,2.47346e-09
644,2.47375e-09
645,2.47404e-09
646,2.47433e-09
647,2.47462e-09
648,2.47491e-09
649,2.47519e-09
650,2.47548e-09
651,2.47576e-09
652,2.47605e-09
653,2.47634e-09
654,2.47662e-09
655,2.4769e-09
656,2.47718e-09
657,2.47746e-09
658,2.47774e-09
659,2.47802e-09
660,2.47829e-09
661,2.47857e-09
662,2.47884e-09
663,2.47911e-09
664,2.47938e-09
665,2.47965e-09
666,2.47991e-09
667,2.48018e-09
668,2.48044e-09
669,2.4807e-09
670,2.48096e-09
671,2.48122e-09
672,2.48148e-09
673,2.48173e-09
674,2.48199e-09
675,2.48224e-09
676,2.48249e-09
677,2.48274e-09
678,2.48299e-09
679,2.48324e-09
680,2.48349e-09
681,2.48373e-09
682,2.48397e-09
683,2.48422e-09
684,2.48446e-09
685,2.4847e-09
686,2.48493e-09
687,2.48517e-09
688,2.4854e-09
689,2.48564e-09
690,2.48587e-09
691,2.4861e-09
692,2.48633e-09
693,2.48656e-09
694,2.48679e-09
695,2.48702e-09
696,2.48724e-09
697,2.48746e-09
698,2.48769e-09
699,2.48791e-09
700,2.48813e-09
701,2.48835e-09
702,2.48856e-09
703,2.48878e-09
704,2.48899e-09
705,2.48921e-09
706,2.48942e-09
707,2.48963e-09
708,2.48984e-09
709,2.49005e-09
710,2.49025e-09
711,2.49046e-09
712,2.49067e-09
713,2.49088e-09
714,2.49109e-09
715,2.49129e-09
716,2.4915e-09
717,2.4917e-09
718,2.49191e-09
719,2.49211e-09
720,2.49231e-09
721,2.49251e-09
722,2.49271e-09
723,2.4929e-09
724,2.4931e-09
725,2.49329e-09
