Time;Channel A;Channel B
(ns);(mV);(mV)

-375,40000890;9,43651600;10,94058000
-375,00000890;9,43651600;11,19894000
-374,60000889;9,39037900;11,70645000
-374,20000888;9,62413800;11,70645000
-373,80000888;10,13164000;11,19894000
-373,40000887;10,11934000;10,95288000
-373,00000887;9,56569900;10,95288000
-372,60000886;9,55339400;11,18664000
-372,20000886;10,06090000;11,64801000
-371,80000885;10,29466000;11,86946000
-371,40000885;10,24852000;11,82333000
-371,00000884;10,24852000;11,82333000
-370,60000884;10,29466000;11,86946000
-370,20000883;10,06090000;11,62340000
-369,80000883;9,55339400;11,07283000
-369,40000882;9,55339400;11,31582000
-369,00000882;10,06090000;12,37389000
-368,60000881;10,29466000;12,37389000
-368,20000880;10,24852000;11,31582000
-367,80000880;10,24852000;11,07283000
-367,40000879;10,29466000;11,62340000
-367,00000879;10,06090000;11,88177000
-366,60000878;9,55339400;11,88177000
-366,20000878;9,55339400;11,66031000
-365,80000877;10,06090000;11,24508000
-365,40000877;10,30696000;10,77756000
-365,00000876;10,30696000;10,27313000
-364,60000876;10,06090000;10,50689000
-364,20000875;9,55339400;11,47269000
-363,80000875;9,55339400;11,92790000
-363,40000874;10,06090000;11,83563000
-363,00000874;10,30696000;11,79872000
-362,60000873;10,30696000;11,75258000
-362,20000872;10,07320000;11,98634000
-361,80000872;9,61183500;12,49385000
-361,40000871;9,37807500;12,50307000
-361,00000871;9,37807500;12,04478000
-360,60000870;9,61183500;11,57726000
-360,20000870;10,07320000;11,11897000
-359,80000869;10,30696000;11,12820000
-359,40000869;10,30696000;11,63570000
-359,00000868;10,07320000;11,89407000
-358,60000868;9,61183500;11,94021000
-358,20000867;9,37807500;11,47269000
-357,80000867;9,37807500;10,50689000
-357,40000866;9,59953100;10,26083000
-357,00000865;10,01476000;10,71912000
-356,60000865;10,45768000;11,44500000
-356,20000864;10,87291000;12,45694000
-355,80000864;11,09436000;12,21087000
-355,40000863;11,09436000;10,69451000
-355,00000863;10,87291000;10,20239000
-354,60000862;10,45768000;10,70681000
-354,20000862;10,00246000;11,43270000
-353,80000861;9,54416800;12,39850000
-353,40000861;9,56569900;12,37389000
-353,00000860;10,11934000;11,31582000
-352,60000860;10,13164000;11,07283000
-352,20000859;9,62413800;11,62340000
-351,80000859;9,39037900;11,85716000
-351,40000858;9,43651600;11,76489000
-351,00000857;9,43651600;11,99865000
-350,60000857;9,39037900;12,54921000
-350,20000856;9,61183500;12,31545000
