Step,ToT (s)
492,2.5025e-09
493,2.50237e-09
494,2.50225e-09
495,2.50213e-09
496,2.502e-09
497,2.50188e-09
498,2.50175e-09
499,2.50162e-09
500,2.50149e-09
501,2.50136e-09
502,2.50123e-09
503,2.5011e-09
504,2.50097e-09
505,2.50084e-09
506,2.50071e-09
507,2.50058e-09
508,2.50044e-09
509,2.5003e-09
510,2.50017e-09
511,2.50004e-09
512,2.4999e-09
513,2.49977e-09
514,2.49963e-09
515,2.49949e-09
516,2.49937e-09
517,2.49923e-09
518,2.49909e-09
519,2.49895e-09
520,2.4988e-09
521,2.49866e-09
522,2.49852e-09
523,2.49838e-09
524,2.49823e-09
525,2.49806e-09
526,2.49791e-09
527,2.49777e-09
528,2.49763e-09
529,2.49748e-09
530,2.49734e-09
531,2.4972e-09
532,2.49708e-09
533,2.49693e-09
534,2.49679e-09
535,2.49664e-09
536,2.4965e-09
537,2.49635e-09
538,2.4962e-09
539,2.49605e-09
540,2.4959e-09
541,2.49575e-09
542,2.49554e-09
543,2.49539e-09
544,2.49524e-09
545,2.49509e-09
546,2.49494e-09
547,2.49479e-09
548,2.49464e-09
549,2.49453e-09
550,2.49437e-09
551,2.49422e-09
552,2.49406e-09
553,2.49391e-09
554,2.49375e-09
555,2.49359e-09
556,2.49344e-09
557,2.49328e-09
558,2.49303e-09
559,2.49287e-09
560,2.49272e-09
561,2.49256e-09
562,2.4924e-09
563,2.49224e-09
564,2.49208e-09
565,2.49192e-09
566,2.49181e-09
567,2.49165e-09
568,2.49149e-09
569,2.49132e-09
570,2.49116e-09
571,2.491e-09
572,2.49083e-09
573,2.49067e-09
574,2.4905e-09
575,2.49023e-09
576,2.49006e-09
577,2.4899e-09
578,2.48974e-09
579,2.48957e-09
580,2.48941e-09
581,2.48924e-09
582,2.48908e-09
583,2.48898e-09
584,2.48881e-09
585,2.48864e-09
586,2.48847e-09
587,2.48831e-09
588,2.48814e-09
589,2.48797e-09
590,2.4878e-09
591,2.48751e-09
592,2.48734e-09
593,2.48716e-09
594,2.48698e-09
595,2.48681e-09
596,2.48663e-09
597,2.48646e-09
598,2.48629e-09
599,2.4862e-09
600,2.48603e-09
601,2.48586e-09
602,2.48569e-09
603,2.48552e-09
604,2.48534e-09
605,2.48517e-09
606,2.485e-09
607,2.48482e-09
608,2.48458e-09
609,2.4844e-09
610,2.48422e-09
611,2.48404e-09
612,2.48386e-09
613,2.48368e-09
614,2.48349e-09
615,2.48331e-09
616,2.48318e-09
617,2.483e-09
618,2.48282e-09
619,2.48265e-09
620,2.48247e-09
621,2.48229e-09
622,2.48211e-09
623,2.48193e-09
624,2.48175e-09
